ID,Titulo,Editorial/Marca,Precio (ARS),Categoria Principal,Subcategoria,Tema/Seccion
1596652875,EL LLANTO DE LOS MUERTOS (LOS CRIMENES DE FJALLBAC,Planeta,49900,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1600349046,EL CANTO INVISIBLE,Alfaguara,44999,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1592243483,EL CANTO DEL CISNE,Plaza & Janes,44999,LIBROS,HUMANIDADES,BIOGRAFIAS Y RELATOS
1550251455,UNA CORTE DE ARMONIA ROTA,Planeta,36900,LIBROS,INFANTIL Y JUVENIL,JOVENES LECTORES
1598840203,HOROSCOPO CHINO 2027,Ediciones B,34999,LIBROS,ESOTERISMO,ASTROLOGÍA
1597286924,LAS MALAS,Big Sur,54000,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1597286855,LA VIDA QUE IMPORTA,Planeta,44900,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1592842599,LA MARCA DEL PSICOPATA,Motus,37500,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1600349020,UN DIA EN LA VIDA DE CLARITA,Alfaguara,37999,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1596652848,MADAME BORGES,Planeta,39900,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1598839892,UNA FAMILIA MODERNA,Plaza & Janes,49999,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1600349165,NUEVA ENCICLOPEDIA POKEMON,Montena,54999,LIBROS,INFANTIL Y JUVENIL,ENTRETENIMIENTOS
1596652936,MAMA ESTA DORMIDA,Planeta,39900,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1598840048,MIENTRAS ESPERO,Suma De Letras,34999,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1580448471,PROMESA DE SANGRE,Editorial El Ateneo,34900,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1577405960,LA INQUILINA,Suma De Letras,45999,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1578966678,LLAMAME POR TU NOMBRE,V & R Editoras,36000,LIBROS,FICCIÓN Y LITERATURA,COMIC'S - NOVELA GRAFICA
1595384534,ATRAPADOS EN EL CIRCO ENCANTADO,Capicua,27000,LIBROS,INFANTIL Y JUVENIL,CUENTOS 
1577406010,EL DESAFIO FINAL,Ediciones B,44999,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1483686597,ALBUM DE NUESTRO PRIMER ENCUENTRO,Albatros - Crianza Y Vinculos,45000,LIBROS,AUTOAYUDA,MATERNIDAD 
1577405986,LAS IRACUNDAS,Random House,35499,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1580448398,VIVE TU ASCENDENTE,Editorial El Ateneo,25900,LIBROS,AUTOAYUDA,SUPERACION PERSONAL
1589992091,ROBLOX,Az Editora,19000,LIBROS,COMPUTACIÓN Y SISTEMAS,VIDEOJUEGOS
1558417620,EL DIA DE LA TRILLA - EMPIREO 4 - EDICION LIMITADA CON CANTOS TINTADOS,Planeta,59990,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1577405837,EL TALISMAN - EL TALISMAN 1,Plaza & Janes,61999,LIBROS,FICCIÓN Y LITERATURA,CIENCIA FICCIÓN / FANTASTICA
1579152759,UNA BUENA VIDA,Planeta,38900,LIBROS,"CIENCIAS DE LA SALUD, NATURALES Y DIVULGACION CIENTIFICA",PSICOLOGÍA
1577405785,CASA NEGRA - EL TALISMAN 2,Plaza & Janes,61999,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1579152687,MALDITA,Planeta,39900,LIBROS,FICCIÓN Y LITERATURA,NOVELAS
1580448235,ROZAS,Editorial El Ateneo,21900,LIBROS,DERECHO Y CIENCIAS SOCIALES,HISTORIA
1580745677,ESO NO ESTABA EN MI LIBRO DE HISTORIA DE LA ALQUIMIA,Ediciones Lea,38000,LIBROS,DERECHO Y CIENCIAS SOCIALES,HISTORIA
1580745075,CHANGE ADOPTION INNOVATION,Ediciones Lea,28000,LIBROS,NEGOCIOS Y CS. ECONOMICAS,ADMINISTRACION
1578966452,WONDERF,Vrya,40000,LIBROS,INFANTIL Y JUVENIL,NOVELA
1587795030,HIGIENE Y SEGURIDAD EN EL TRABAJO 3.1,Errepar,20900,LIBROS,DERECHO Y CIENCIAS SOCIALES,DERECHO
1577405624,MODELO A SEGUIR (GAME CHANGERS 5),Montena,33299,LIBROS,INFANTIL Y JUVENIL,JOVENES LECTORES
1590528070,EL PAIS DE LA CIENCIA,Az Editora,35000,LIBROS,"CIENCIAS DE LA SALUD, NATURALES Y DIVULGACION CIENTIFICA",DIVULGACIÓN CIENTÍFICA
1573022427,"ARRIBA, MESSI - CINEBOOK",Catapulta,11900,LIBROS,"JUEGOS, DEPORTES Y RECREACION",DEPORTES
1580448315,LIDERAZGO CON PROPOSITO,Editorial El Ateneo,29500,LIBROS,AUTOAYUDA,SUPERACION PERSONAL
1577530957,EL LIBRO NEGRO DE LA NUEVA DERECHA,Siglo Xxi Editores Argentina,31900,LIBROS,HUMANIDADES,SOCIOLOGÍA
1581022028,QUE DIABLOS NOS PASO?,Sudamericana,39999,LIBROS,DERECHO Y CIENCIAS SOCIALES,POLITICA
