"segmento_demo","nombre","sku","marca","precio","moneda","disponibilidad","stock","url_producto","imagen","url_origen"
"libros_infantil","AMANECER EN LA COSECHA (JUEGOS HAMBRE 5)","728193","Molino","46999","ARS","InStock","","https://www.yenny-elateneo.com/productos/amanecer-en-la-cosecha-juegos-hambre-5/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/728193-69662bdbae29d4383417418495680010-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","ALAS DE ONIX (EMPIREO 3)","725970","Planeta","61900","ARS","InStock","","https://www.yenny-elateneo.com/productos/alas-de-onix-empireo-3/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/725970-6eb099df03564dc21617398523746710-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","MAS QUE RIVALES (GAME CHANGERS 2)","741851","Montena","33299","ARS","InStock","","https://www.yenny-elateneo.com/productos/mas-que-rivales-1u7lx/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/741851-c3ed5fcea93e3f19ff17708206417361-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","CUENTOS DE AMOR PROPIO","718511","Editorial El Ateneo","23900","ARS","InStock","","https://www.yenny-elateneo.com/productos/cuentos-de-amor-propio1/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/718511-7d0b56e27325c0ec0517275703470296-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","HEARTSTOPPER 6","745726","Vrya","31000","ARS","InStock","","https://www.yenny-elateneo.com/productos/heartstopper-6-1d4lr/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/745726-6079448e6bfeddd99117817977803389-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","CUENTOS DE AMOR PROPIO 2","728156","Editorial El Ateneo","23900","ARS","InStock","","https://www.yenny-elateneo.com/productos/cuentos-de-amor-propio-2/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/728156-8a75641347c1a6eb8e17424574361151-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","ALAS DE SANGRE","708298","Planeta","61900","ARS","InStock","","https://www.yenny-elateneo.com/productos/alas-de-sangre/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/708298-dd04697df54269623b17275607306191-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","ALAS DE HIERRO (EMPIREO 2)","714221","Planeta","61900","ARS","InStock","","https://www.yenny-elateneo.com/productos/alas-de-hierro-empireo-2/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/714221-cfde7dd6cd385299a317272086557255-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","ARENA NO QUIERE DORMIR","746160","Destino Infantil Y Juvenil Arg","27900","ARS","InStock","","https://www.yenny-elateneo.com/productos/arena-no-quiere-dormir-68ox0/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/bell0-8a81d5e3206cc1852017870592156534-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","BINDING 13 (CHICOS DE TOMMEN 1)","720577","Montena","55499","ARS","InStock","","https://www.yenny-elateneo.com/productos/binding-13-chicos-de-tommen-1/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/720577-2bc5cbe57e1726ada117276992083002-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
"libros_infantil","KEEPING 13 (CHICOS DE TOMMEN 2)","724327","Montena","55499","ARS","InStock","","https://www.yenny-elateneo.com/productos/keeping-13-chicos-de-tommen-2/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/724327-d84bb53bd63e7b114c17329607898285-480-0.webp","https://www.yenny-elateneo.com/libros/infantil-y-juvenil/"
