"segmento_demo","nombre","sku","marca","precio","moneda","disponibilidad","stock","url_producto","imagen","url_origen"
"musica","KIND OF BLUE ( INTERNATIONAL VERSION )","148590","No Usar Sy","35600","ARS","InStock","1","https://www.yenny-elateneo.com/productos/kind-of-blue-international-version/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/148590-fcbdca73b527b4654b17332509714523-480-0.webp","https://www.yenny-elateneo.com/musica/jazz/"
"musica","THE GREATEST HITS OF ALL: THE VERY BEST","198796","Warner Bros.","20800","ARS","InStock","2","https://www.yenny-elateneo.com/productos/the-greatest-hits-of-all-the-very-best/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/198796-9c67272fafc31a029017279639582852-480-0.webp","https://www.yenny-elateneo.com/musica/jazz/"
"musica","GOLD (JEWEL BOX)","477241","Universal","30300","ARS","InStock","15","https://www.yenny-elateneo.com/productos/gold-jewel-box/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/477241-377bab7b85af7c1fb517269696235454-480-0.webp","https://www.yenny-elateneo.com/musica/rp-internacional/"
"musica","HAYDN / HOFMANN / MOZART","498757","Sony Music","15600","ARS","InStock","3","https://www.yenny-elateneo.com/productos/haydn-hofmann-mozart/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/498757-929e4179243025d0c517285261536423-480-0.webp","https://www.yenny-elateneo.com/musica/musica-clasica/"
"musica","GREATEST HITS I (F)","524862","Universal","30300","ARS","InStock","20","https://www.yenny-elateneo.com/productos/greatest-hits-i-f/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/524862-c4265d4d6d394448b717273742576524-480-0.webp","https://www.yenny-elateneo.com/musica/rp-internacional/"
"musica","LIVE FROM JAZZ AT LINCOLN CENTER","538867","Warner Bros.","22799.99","ARS","InStock","2","https://www.yenny-elateneo.com/productos/live-from-jazz-at-lincoln-center/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/538867-65a6ec22391b102a0517356544258308-480-0.webp","https://www.yenny-elateneo.com/musica/jazz/"
"musica","HANDWRITTEN","592355","Universal","6100","ARS","InStock","5","https://www.yenny-elateneo.com/productos/handwritten/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/592355-b3776eea7d4de86f1917275392818448-480-0.webp","https://www.yenny-elateneo.com/musica/rp-internacional/"
"musica","VIVA OLYMPIA","618672","Universal","2200","ARS","InStock","10","https://www.yenny-elateneo.com/productos/viva-olympia/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/618672-73ca171d66edecd15f17292005050533-480-0.webp","https://www.yenny-elateneo.com/musica/musica-clasica/"
"musica","THE QUEEN IS DEAD","619118","Warner Bros.","61000","ARS","InStock","20","https://www.yenny-elateneo.com/productos/the-queen-is-dead/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/619118-59026c58a2538f021717292005500734-480-0.webp","https://www.yenny-elateneo.com/musica/rp-internacional/"
"musica","NAT KING COLE &amp; ME","640386","Universal","3400","ARS","InStock","5","https://www.yenny-elateneo.com/productos/nat-king-cole-me/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/640386-a4fe451ea1f3461ee617274906342331-480-0.webp","https://www.yenny-elateneo.com/musica/jazz/"
"musica","GREATEST HITS","672694","Universal","124500","ARS","InStock","14","https://www.yenny-elateneo.com/productos/greatest-hits28/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/672694-d79964ed449e6d81e017271915989436-480-0.webp","https://www.yenny-elateneo.com/musica/rp-internacional/"
"musica","GREATEST HITS","679652","Sony Music","123800","ARS","InStock","1","https://www.yenny-elateneo.com/productos/greatest-hits45/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/679652-f76741ee1f2302b2e017331024729949-480-0.webp","https://www.yenny-elateneo.com/musica/jazz/"
"musica","TRIBUTE TO ELLINGTON","683062","Warner Bros.","64800","ARS","InStock","2","https://www.yenny-elateneo.com/productos/tribute-to-ellington/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/683062-5d2b69ca2603a2cfa417279690668741-480-0.webp","https://www.yenny-elateneo.com/musica/jazz/"
"musica","STEPS AHEAD","684418","Warner Bros.","19999.99","ARS","InStock","2","https://www.yenny-elateneo.com/productos/steps-ahead1/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/684418-6095030096aae10a7717408024671982-480-0.webp","https://www.yenny-elateneo.com/musica/jazz/"
"musica","SOUR DELUXE ( EDICION LIMITADA )","687142","Universal","30300","ARS","InStock","25","https://www.yenny-elateneo.com/productos/sour-deluxe-edicion-limitada/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/687142-03775fa4ac1b2a9aca17277455085964-480-0.webp","https://www.yenny-elateneo.com/musica/rp-internacional/"
"musica","PICTURES OF AMERICA / NOUGARO (2CD)","692357","Sony Music","49100","ARS","InStock","2","https://www.yenny-elateneo.com/productos/pictures-of-america-nougaro-2cd-sa28g/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/692357-e928f3b2c4b3c22e0217876900810644-480-0.webp","https://www.yenny-elateneo.com/musica/musica-clasica/"
"musica","BERNSTEIN ROMANCE (2CD)","692405","Sony Music","42500","ARS","InStock","1","https://www.yenny-elateneo.com/productos/bernstein-romance-2cd-13n5s/","https://acdn-us.mitiendanube.com/stores/004/088/117/products/692405-2728e16eef93a871e317876900825398-480-0.webp","https://www.yenny-elateneo.com/musica/musica-clasica/"
